Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE GIRASSOL;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
PB-EMAS;0;0;0;0;0;0;0;0;0
PB-ESPERANCA;0;0;0;0;0;0;0;0;0
PB-FAGUNDES;0;0;0;0;0;0;0;0;0
PB-FREI MARTINHO;0;0;0;0;0;0;0;0;0
PB-GADO BRAVO;0;0;0;0;0;0;0;0;0
PB-GUARABIRA;0;0;0;0;0;0;0;0;0
PB-GURINHEM;0;0;0;0;0;0;0;0;0
PB-GURJAO;0;0;0;0;0;0;0;0;0
PB-IBIARA;0;0;0;0;0;0;0;0;0
PB-IMACULADA;0;0;0;0;0;0;0;0;0
PB-INGA;0;0;0;0;0;0;0;0;0
PB-ITABAIANA;0;0;0;0;0;0;0;0;0
PB-ITAPORANGA;0;0;0;0;0;0;0;0;0
PB-ITAPOROROCA;0;0;0;0;0;0;0;0;0
PB-ITATUBA;0;0;0;0;0;0;0;0;0
PB-JACARAU;0;0;0;0;0;0;0;0;0
PB-JERICO;0;0;0;0;0;0;0;0;0
PB-JOAO PESSOA;0;0;0;0;0;0;0;0;0
PB-JUAREZ TAVORA;0;0;0;0;0;0;0;0;0
PB-JUAZEIRINHO;0;0;0;0;0;0;0;0;0
PB-JUNCO DO SERIDO;0;0;0;0;0;0;0;0;0
PB-JURIPIRANGA;0;0;0;0;0;0;0;0;0
PB-JURU;0;0;0;0;0;0;0;0;0
PB-LAGOA;0;0;0;0;0;0;0;0;0
PB-LAGOA DE DENTRO;0;0;0;0;0;0;0;0;0
PB-LAGOA SECA;0;0;0;0;0;0;0;0;0
PB-LASTRO;0;0;0;0;0;0;0;0;0
PB-LIVRAMENTO;0;0;0;0;0;0;0;0;0
PB-LOGRADOURO;0;0;0;0;0;0;0;0;0
PB-LUCENA;0;0;0;0;0;0;0;0;0
PB-MAE D AGUA;0;0;0;0;0;0;0;0;0
PB-MALTA;0;0;0;0;0;0;0;0;0
PB-MAMANGUAPE;0;0;0;0;0;0;0;0;0
PB-MANAIRA;0;0;0;0;0;0;0;0;0
PB-MARCACAO;0;0;0;0;0;0;0;0;0
PB-MARI;0;0;0;0;0;0;0;0;0
PB-MARIZOPOLIS;0;0;0;0;0;0;0;0;0
PB-MASSARANDUBA;0;0;0;0;0;0;0;0;0
PB-MATARACA;0;0;0;0;0;0;0;0;0
PB-MATINHAS;0;0;0;0;0;0;0;0;0
PB-MATO GROSSO;0;0;0;0;0;0;0;0;0
PB-MATUREIA;0;0;0;0;0;0;0;0;0
PB-MOGEIRO;0;0;0;0;0;0;0;0;0
PB-MONTADAS;0;0;0;0;0;0;0;0;0
PB-MONTE HOREBE;0;0;0;0;0;0;0;0;0
PB-MONTEIRO;0;0;0;0;0;0;0;0;0
PB-MULUNGU;0;0;0;0;0;0;0;0;0
PB-NATUBA;0;0;0;0;0;0;0;0;0
PB-NAZAREZINHO;0;0;0;0;0;0;0;0;0
PB-NOVA FLORESTA;0;0;0;0;0;0;0;0;0
PB-NOVA OLINDA;0;0;0;0;0;0;0;0;0
PB-NOVA PALMEIRA;0;0;0;0;0;0;0;0;0
PB-OLHO D AGUA;0;0;0;0;0;0;0;0;0
PB-OLIVEDOS;0;0;0;0;0;0;0;0;0
PB-OURO VELHO;0;0;0;0;0;0;0;0;0
PB-PARARI;0;0;0;0;0;0;0;0;0
PB-PASSAGEM;0;0;0;0;0;0;0;0;0
PB-PATOS;0;0;0;0;0;0;0;0;0
PB-PAULISTA;0;0;0;0;0;0;0;0;0
PB-PEDRA BRANCA;0;0;0;0;0;0;0;0;0
PB-PEDRA LAVRADA;0;0;0;0;0;0;0;0;0
PB-PEDRAS DE FOGO;0;0;0;0;0;0;0;0;0
PB-PIANCO;0;0;0;0;0;0;0;0;0
PB-PICUI;0;0;0;0;0;0;0;0;0
PB-PILAR;0;0;0;0;0;0;0;0;0
PB-PILOES;0;0;0;0;0;0;0;0;0
PB-PILOEZINHOS;0;0;0;0;0;0;0;0;0
PB-PIRPIRITUBA;0;0;0;0;0;0;0;0;0
PB-PITIMBU;0;0;0;0;0;0;0;0;0
PB-POCINHOS;0;0;0;0;0;0;0;0;0
PB-POCO DANTAS;0;0;0;0;0;0;0;0;0
PB-POCO DE JOSE DE MOURA;0;0;0;0;0;0;0;0;0
PB-POMBAL;0;0;0;0;0;0;0;0;0
PB-PRATA;0;0;0;0;0;0;0;0;0
PB-PRINCESA ISABEL;0;0;0;0;0;0;0;0;0
PB-PUXINANA;0;0;0;0;0;0;0;0;0
PB-QUEIMADAS;0;0;0;0;0;0;0;0;0
PB-QUIXABA;0;0;0;0;0;0;0;0;0
PB-REMIGIO;0;0;0;0;0;0;0;0;0
PB-PEDRO REGIS;0;0;0;0;0;0;0;0;0
PB-RIACHAO;0;0;0;0;0;0;0;0;0
PB-RIACHAO DO BACAMARTE;0;0;0;0;0;0;0;0;0
PB-RIACHAO DO POCO;0;0;0;0;0;0;0;0;0
PB-RIACHO DE SANTO ANTONIO;0;0;0;0;0;0;0;0;0
PB-RIACHO DOS CAVALOS;0;0;0;0;0;0;0;0;0
PB-RIO TINTO;0;0;0;0;0;0;0;0;0
PB-SALGADINHO;0;0;0;0;0;0;0;0;0
PB-SALGADO DE SAO FELIX;0;0;0;0;0;0;0;0;0
PB-SANTA CECILIA;0;0;0;0;0;0;0;0;0
PB-SANTA CRUZ;0;0;0;0;0;0;0;0;0
PB-SANTA HELENA;0;0;0;0;0;0;0;0;0
PB-SANTA INES;0;0;0;0;0;0;0;0;0
PB-SANTA LUZIA;0;0;0;0;0;0;0;0;0
PB-SANTANA DE MANGUEIRA;0;0;0;0;0;0;0;0;0
PB-SANTANA DOS GARROTES;0;0;0;0;0;0;0;0;0
PB-JOCA CLAUDINO;0;0;0;0;0;0;0;0;0
PB-SANTA RITA;0;0;0;0;0;0;0;0;0
PB-SANTA TERESINHA;0;0;0;0;0;0;0;0;0
PB-SANTO ANDRE;0;0;0;0;0;0;0;0;0
PB-SAO BENTO;0;0;0;0;0;0;0;0;0
PB-SAO BENTINHO;0;0;0;0;0;0;0;0;0
PB-SAO DOMINGOS DO CARIRI;0;0;0;0;0;0;0;0;0
PB-SAO DOMINGOS;0;0;0;0;0;0;0;0;0
PB-SAO FRANCISCO;0;0;0;0;0;0;0;0;0
PB-SAO JOAO DO CARIRI;0;0;0;0;0;0;0;0;0
PB-SAO JOAO DO TIGRE;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DA LAGOA TAPADA;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DE CAIANA;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DE ESPINHARAS;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DOS RAMOS;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DE PIRANHAS;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DE PRINCESA;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DO BONFIM;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DO BREJO DO CRUZ;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DO SABUGI;0;0;0;0;0;0;0;0;0
PB-SAO JOSE DOS CORDEIROS;0;0;0;0;0;0;0;0;0
PB-SAO MAMEDE;0;0;0;0;0;0;0;0;0
PB-SAO MIGUEL DE TAIPU;0;0;0;0;0;0;0;0;0
PB-SAO SEBASTIAO DE LAGOA DE ROCA;0;0;0;0;0;0;0;0;0
PB-SAO SEBASTIAO DO UMBUZEIRO;0;0;0;0;0;0;0;0;0
PB-SAPE;0;0;0;0;0;0;0;0;0
PB-SAO VICENTE DO SERIDO;0;0;0;0;0;0;0;0;0
PB-SERRA BRANCA;0;0;0;0;0;0;0;0;0
PB-SERRA DA RAIZ;0;0;0;0;0;0;0;0;0
PB-SERRA GRANDE;0;0;0;0;0;0;0;0;0
PB-SERRA REDONDA;0;0;0;0;0;0;0;0;0
PB-SERRARIA;0;0;0;0;0;0;0;0;0
PB-SERTAOZINHO;0;0;0;0;0;0;0;0;0
PB-SOBRADO;0;0;0;0;0;0;0;0;0
PB-SOLANEA;0;0;0;0;0;0;0;0;0
PB-SOLEDADE;0;0;0;0;0;0;0;0;0
PB-SOSSEGO;0;0;0;0;0;0;0;0;0
PB-SOUSA;0;0;0;0;0;0;0;0;0
PB-SUME;0;0;0;0;0;0;0;0;0
PB-TACIMA;0;0;0;0;0;0;0;0;0
PB-TAPEROA;0;0;0;0;0;0;0;0;0
PB-TAVARES;0;0;0;0;0;0;0;0;0
PB-TEIXEIRA;0;0;0;0;0;0;0;0;0
PB-TENORIO;0;0;0;0;0;0;0;0;0
PB-TRIUNFO;0;0;0;0;0;0;0;0;0
PB-UIRAUNA;0;0;0;0;0;0;0;0;0
PB-UMBUZEIRO;0;0;0;0;0;0;0;0;0
PB-VARZEA;0;0;0;0;0;0;0;0;0
PB-VIEIROPOLIS;0;0;0;0;0;0;0;0;0
PB-ZABELE;0;0;0;0;0;0;0;0;0
PB-IGNORADO;0;0;0;0;0;0;0;0;0
PE-ABREU E LIMA;0;0;0;0;0;0;0;0;0
PE-AFOGADOS DA INGAZEIRA;0;0;0;0;0;0;0;0;0
PE-AFRANIO;0;0;0;0;0;0;0;0;0
PE-AGRESTINA;0;0;0;0;0;0;0;0;0
PE-AGUA PRETA;0;0;0;0;0;0;0;0;0
PE-AGUAS BELAS;0;0;0;0;0;0;0;0;0
PE-ALAGOINHA;0;0;0;0;0;0;0;0;0
PE-ALIANCA;0;0;0;0;0;0;0;0;0
PE-ALTINHO;0;0;0;0;0;0;0;0;0
PE-AMARAJI;0;0;0;0;0;0;0;0;0
PE-ANGELIM;0;0;0;0;0;0;0;0;0
PE-ARACOIABA;0;0;0;0;0;0;0;0;0
PE-ARARIPINA;0;0;0;0;0;0;0;0;0
PE-ARCOVERDE;0;0;0;0;0;0;0;0;0
PE-BARRA DE GUABIRABA;0;0;0;0;0;0;0;0;0
PE-BARREIROS;0;0;0;0;0;0;0;0;0
PE-BELEM DE MARIA;0;0;0;0;0;0;0;0;0
PE-BELEM DE SAO FRANCISCO;0;0;0;0;0;0;0;0;0
PE-BELO JARDIM;0;0;0;0;0;0;0;0;0
PE-BETANIA;0;0;0;0;0;0;0;0;0
PE-BEZERROS;0;0;0;0;0;0;0;0;0
PE-BODOCO;0;0;0;0;0;0;0;0;0
PE-BOM CONSELHO;0;0;0;0;0;0;0;0;0
PE-BOM JARDIM;0;0;0;0;0;0;0;0;0
PE-BONITO;0;0;0;0;0;0;0;0;0
PE-BREJAO;0;0;0;0;0;0;0;0;0
PE-BREJINHO;0;0;0;0;0;0;0;0;0
PE-BREJO DA MADRE DE DEUS;0;0;0;0;0;0;0;0;0
PE-BUENOS AIRES;0;0;0;0;0;0;0;0;0
PE-BUIQUE;0;0;0;0;0;0;0;0;0
PE-CABO DE SANTO AGOSTINHO;0;0;0;0;0;0;0;0;0
PE-CABROBO;0;0;0;0;0;0;0;0;0
PE-CACHOEIRINHA;0;0;0;0;0;0;0;0;0
PE-CAETES;0;0;0;0;0;0;0;0;0
PE-CALCADO;0;0;0;0;0;0;0;0;0
PE-CALUMBI;0;0;0;0;0;0;0;0;0
PE-CAMARAGIBE;0;0;0;0;0;0;0;0;0
PE-CAMOCIM DE SAO FELIX;0;0;0;0;0;0;0;0;0
PE-CAMUTANGA;0;0;0;0;0;0;0;0;0
PE-CANHOTINHO;0;0;0;0;0;0;0;0;0
PE-CAPOEIRAS;0;0;0;0;0;0;0;0;0
PE-CARNAIBA;0;0;0;0;0;0;0;0;0
PE-CARNAUBEIRA DA PENHA;0;0;0;0;0;0;0;0;0
PE-CARPINA;0;0;0;0;0;0;0;0;0
PE-CARUARU;0;0;0;0;0;0;0;0;0
PE-CASINHAS;0;0;0;0;0;0;0;0;0
PE-CATENDE;0;0;0;0;0;0;0;0;0
PE-CEDRO;0;0;0;0;0;0;0;0;0
PE-CHA DE ALEGRIA;0;0;0;0;0;0;0;0;0
PE-CHA GRANDE;0;0;0;0;0;0;0;0;0
PE-CONDADO;0;0;0;0;0;0;0;0;0
PE-CORRENTES;0;0;0;0;0;0;0;0;0
PE-CORTES;0;0;0;0;0;0;0;0;0
PE-CUMARU;0;0;0;0;0;0;0;0;0
PE-CUPIRA;0;0;0;0;0;0;0;0;0
PE-CUSTODIA;0;0;0;0;0;0;0;0;0
PE-DORMENTES;0;0;0;0;0;0;0;0;0
PE-ESCADA;0;0;0;0;0;0;0;0;0
PE-EXU;0;0;0;0;0;0;0;0;0
PE-FEIRA NOVA;0;0;0;0;0;0;0;0;0
PE-FERNANDO DE NORONHA;0;0;0;0;0;0;0;0;0
PE-FERREIROS;0;0;0;0;0;0;0;0;0
PE-FLORES;0;0;0;0;0;0;0;0;0
PE-FLORESTA;0;0;0;0;0;0;0;0;0
PE-FREI MIGUELINHO;0;0;0;0;0;0;0;0;0
PE-GAMELEIRA;0;0;0;0;0;0;0;0;0
PE-GARANHUNS;0;0;0;0;0;0;0;0;0
PE-GLORIA DO GOITA;0;0;0;0;0;0;0;0;0
PE-GOIANA;0;0;0;0;0;0;0;0;0
PE-GRANITO;0;0;0;0;0;0;0;0;0
PE-GRAVATA;0;0;0;0;0;0;0;0;0
PE-IATI;0;0;0;0;0;0;0;0;0
PE-IBIMIRIM;0;0;0;0;0;0;0;0;0
PE-IBIRAJUBA;0;0;0;0;0;0;0;0;0
PE-IGARASSU;0;0;0;0;0;0;0;0;0
PE-IGUARACY;0;0;0;0;0;0;0;0;0
PE-INAJA;0;0;0;0;0;0;0;0;0
PE-INGAZEIRA;0;0;0;0;0;0;0;0;0
PE-IPOJUCA;0;0;0;0;0;0;0;0;0
PE-IPUBI;0;0;0;0;0;0;0;0;0
PE-ITACURUBA;0;0;0;0;0;0;0;0;0
PE-ITAIBA;0;0;0;0;0;0;0;0;0
PE-ILHA DE ITAMARACA;0;0;0;0;0;0;0;0;0
PE-ITAMBE;0;0;0;0;0;0;0;0;0
PE-ITAPETIM;0;0;0;0;0;0;0;0;0
PE-ITAPISSUMA;0;0;0;0;0;0;0;0;0
PE-ITAQUITINGA;0;0;0;0;0;0;0;0;0
PE-JABOATAO DOS GUARARAPES;0;0;0;0;0;0;0;0;0
PE-JAQUEIRA;0;0;0;0;0;0;0;0;0
PE-JATAUBA;0;0;0;0;0;0;0;0;0
PE-JATOBA;0;0;0;0;0;0;0;0;0
PE-JOAO ALFREDO;0;0;0;0;0;0;0;0;0
PE-JOAQUIM NABUCO;0;0;0;0;0;0;0;0;0
PE-JUCATI;0;0;0;0;0;0;0;0;0
PE-JUPI;0;0;0;0;0;0;0;0;0
PE-JUREMA;0;0;0;0;0;0;0;0;0
PE-LAGOA DO CARRO;0;0;0;0;0;0;0;0;0
PE-LAGOA DO ITAENGA;0;0;0;0;0;0;0;0;0
PE-LAGOA DO OURO;0;0;0;0;0;0;0;0;0
PE-LAGOA DOS GATOS;0;0;0;0;0;0;0;0;0
PE-LAGOA GRANDE;0;0;0;0;0;0;0;0;0
PE-LAJEDO;0;0;0;0;0;0;0;0;0
PE-LIMOEIRO;0;0;0;0;0;0;0;0;0
PE-MACAPARANA;0;0;0;0;0;0;0;0;0
PE-MACHADOS;0;0;0;0;0;0;0;0;0
PE-MANARI;0;0;0;0;0;0;0;0;0
PE-MARAIAL;0;0;0;0;0;0;0;0;0
PE-MIRANDIBA;0;0;0;0;0;0;0;0;0
PE-MORENO;0;0;0;0;0;0;0;0;0
PE-NAZARE DA MATA;0;0;0;0;0;0;0;0;0
PE-OLINDA;0;0;0;0;0;0;0;0;0
PE-OROBO;0;0;0;0;0;0;0;0;0
PE-OROCO;0;0;0;0;0;0;0;0;0
PE-OURICURI;0;0;0;0;0;0;0;0;0
PE-PALMARES;0;0;0;0;0;0;0;0;0
PE-PALMEIRINA;0;0;0;0;0;0;0;0;0
PE-PANELAS;0;0;0;0;0;0;0;0;0
PE-PARANATAMA;0;0;0;0;0;0;0;0;0
PE-PARNAMIRIM;0;0;0;0;0;0;0;0;0
PE-PASSIRA;0;0;0;0;0;0;0;0;0
PE-PAUDALHO;0;0;0;0;0;0;0;0;0
PE-PAULISTA;0;0;0;0;0;0;0;0;0
PE-PEDRA;0;0;0;0;0;0;0;0;0
PE-PESQUEIRA;0;0;0;0;0;0;0;0;0
PE-PETROLANDIA;0;0;0;0;0;0;0;0;0
PE-PETROLINA;0;0;0;0;0;0;0;0;0
PE-POCAO;0;0;0;0;0;0;0;0;0
PE-POMBOS;0;0;0;0;0;0;0;0;0
PE-PRIMAVERA;0;0;0;0;0;0;0;0;0
PE-QUIPAPA;0;0;0;0;0;0;0;0;0
PE-QUIXABA;0;0;0;0;0;0;0;0;0
PE-RECIFE;0;0;0;0;0;0;0;0;0
PE-RIACHO DAS ALMAS;0;0;0;0;0;0;0;0;0
PE-RIBEIRAO;0;0;0;0;0;0;0;0;0
PE-RIO FORMOSO;0;0;0;0;0;0;0;0;0
PE-SAIRE;0;0;0;0;0;0;0;0;0
PE-SALGADINHO;0;0;0;0;0;0;0;0;0
PE-SALGUEIRO;0;0;0;0;0;0;0;0;0
PE-SALOA;0;0;0;0;0;0;0;0;0
PE-SANHARO;0;0;0;0;0;0;0;0;0
PE-SANTA CRUZ;0;0;0;0;0;0;0;0;0
PE-SANTA CRUZ DA BAIXA VERDE;0;0;0;0;0;0;0;0;0
PE-SANTA CRUZ DO CAPIBARIBE;0;0;0;0;0;0;0;0;0
PE-SANTA FILOMENA;0;0;0;0;0;0;0;0;0
PE-SANTA MARIA DA BOA VISTA;0;0;0;0;0;0;0;0;0
PE-SANTA MARIA DO CAMBUCA;0;0;0;0;0;0;0;0;0
PE-SANTA TEREZINHA;0;0;0;0;0;0;0;0;0
PE-SAO BENEDITO DO SUL;0;0;0;0;0;0;0;0;0
PE-SAO BENTO DO UNA;0;0;0;0;0;0;0;0;0
PE-SAO CAITANO;0;0;0;0;0;0;0;0;0
PE-SAO JOAO;0;0;0;0;0;0;0;0;0
PE-SAO JOAQUIM DO MONTE;0;0;0;0;0;0;0;0;0
PE-SAO JOSE DA COROA GRANDE;0;0;0;0;0;0;0;0;0
PE-SAO JOSE DO BELMONTE;0;0;0;0;0;0;0;0;0
PE-SAO JOSE DO EGITO;0;0;0;0;0;0;0;0;0
PE-SAO LOURENCO DA MATA;0;0;0;0;0;0;0;0;0
PE-SAO VICENTE FERRER;0;0;0;0;0;0;0;0;0
PE-SERRA TALHADA;0;0;0;0;0;0;0;0;0
PE-SERRITA;0;0;0;0;0;0;0;0;0
PE-SERTANIA;0;0;0;0;0;0;0;0;0
PE-SIRINHAEM;0;0;0;0;0;0;0;0;0
PE-MOREILANDIA;0;0;0;0;0;0;0;0;0
PE-SOLIDAO;0;0;0;0;0;0;0;0;0
PE-SURUBIM;0;0;0;0;0;0;0;0;0
PE-TABIRA;0;0;0;0;0;0;0;0;0
PE-TACAIMBO;0;0;0;0;0;0;0;0;0
PE-TACARATU;0;0;0;0;0;0;0;0;0
PE-TAMANDARE;0;0;0;0;0;0;0;0;0
PE-TAQUARITINGA DO NORTE;0;0;0;0;0;0;0;0;0
PE-TEREZINHA;0;0;0;0;0;0;0;0;0
PE-TERRA NOVA;0;0;0;0;0;0;0;0;0
PE-TIMBAUBA;0;0;0;0;0;0;0;0;0
PE-TORITAMA;0;0;0;0;0;0;0;0;0
PE-TRACUNHAEM;0;0;0;0;0;0;0;0;0
PE-TRINDADE;0;0;0;0;0;0;0;0;0
PE-TRIUNFO;0;0;0;0;0;0;0;0;0
PE-TUPANATINGA;0;0;0;0;0;0;0;0;0
PE-TUPARETAMA;0;0;0;0;0;0;0;0;0
PE-VENTUROSA;0;0;0;0;0;0;0;0;0
PE-VERDEJANTE;0;0;0;0;0;0;0;0;0
PE-VERTENTE DO LERIO;0;0;0;0;0;0;0;0;0
PE-VERTENTES;0;0;0;0;0;0;0;0;0
PE-VICENCIA;0;0;0;0;0;0;0;0;0
PE-VITORIA DE SANTO ANTAO;0;0;0;0;0;0;0;0;0
PE-XEXEU;0;0;0;0;0;0;0;0;0
PE-IGNORADO;0;0;0;0;0;0;0;0;0
AL-AGUA BRANCA;0;0;0;0;0;0;0;0;0
AL-ANADIA;0;0;0;0;0;0;0;0;0
AL-ARAPIRACA;0;0;0;0;0;0;0;0;0
AL-ATALAIA;0;0;0;0;0;0;0;0;0
AL-BARRA DE SANTO ANTONIO;0;0;0;0;0;0;0;0;0
AL-BARRA DE SAO MIGUEL;0;0;0;0;0;0;0;0;0
AL-BATALHA;0;0;0;0;0;0;0;0;0
AL-BELEM;0;0;0;0;0;0;0;0;0
AL-BELO MONTE;0;0;0;0;0;0;0;0;0
AL-BOCA DA MATA;0;0;0;0;0;0;0;0;0
AL-BRANQUINHA;0;0;0;0;0;0;0;0;0
AL-CACIMBINHAS;0;0;0;0;0;0;0;0;0
AL-CAJUEIRO;0;0;0;0;0;0;0;0;0
AL-CAMPESTRE;0;0;0;0;0;0;0;0;0
AL-CAMPO ALEGRE;0;0;0;0;0;0;0;0;0
AL-CAMPO GRANDE;0;0;0;0;0;0;0;0;0
AL-CANAPI;0;0;0;0;0;0;0;0;0
AL-CAPELA;0;0;0;0;0;0;0;0;0
AL-CARNEIROS;0;0;0;0;0;0;0;0;0
AL-CHA PRETA;0;0;0;0;0;0;0;0;0
AL-COITE DO NOIA;0;0;0;0;0;0;0;0;0
AL-COLONIA LEOPOLDINA;0;0;0;0;0;0;0;0;0
AL-COQUEIRO SECO;0;0;0;0;0;0;0;0;0
AL-CORURIPE;0;0;0;0;0;0;0;0;0
AL-CRAIBAS;0;0;0;0;0;0;0;0;0
AL-DELMIRO GOUVEIA;0;0;0;0;0;0;0;0;0
AL-DOIS RIACHOS;0;0;0;0;0;0;0;0;0
AL-ESTRELA DE ALAGOAS;0;0;0;0;0;0;0;0;0
AL-FEIRA GRANDE;0;0;0;0;0;0;0;0;0
AL-FELIZ DESERTO;0;0;0;0;0;0;0;0;0
AL-FLEXEIRAS;0;0;0;0;0;0;0;0;0
AL-GIRAU DO PONCIANO;0;0;0;0;0;0;0;0;0
AL-IBATEGUARA;0;0;0;0;0;0;0;0;0
AL-IGACI;0;0;0;0;0;0;0;0;0
AL-IGREJA NOVA;0;0;0;0;0;0;0;0;0
AL-INHAPI;0;0;0;0;0;0;0;0;0
AL-JACARE DOS HOMENS;0;0;0;0;0;0;0;0;0
AL-JACUIPE;0;0;0;0;0;0;0;0;0
AL-JAPARATINGA;0;0;0;0;0;0;0;0;0
AL-JARAMATAIA;0;0;0;0;0;0;0;0;0
AL-JEQUIA DA PRAIA;0;0;0;0;0;0;0;0;0
AL-JOAQUIM GOMES;0;0;0;0;0;0;0;0;0
AL-JUNDIA;0;0;0;0;0;0;0;0;0
AL-JUNQUEIRO;0;0;0;0;0;0;0;0;0
AL-LAGOA DA CANOA;0;0;0;0;0;0;0;0;0
AL-LIMOEIRO DE ANADIA;0;0;0;0;0;0;0;0;0
AL-MACEIO;0;0;0;0;0;0;0;0;0
AL-MAJOR ISIDORO;0;0;0;0;0;0;0;0;0
AL-MARAGOGI;0;0;0;0;0;0;0;0;0
AL-MARAVILHA;0;0;0;0;0;0;0;0;0
AL-MARECHAL DEODORO;0;0;0;0;0;0;0;0;0
AL-MARIBONDO;0;0;0;0;0;0;0;0;0
AL-MAR VERMELHO;0;0;0;0;0;0;0;0;0
AL-MATA GRANDE;0;0;0;0;0;0;0;0;0
AL-MATRIZ DE CAMARAGIBE;0;0;0;0;0;0;0;0;0
AL-MESSIAS;0;0;0;0;0;0;0;0;0
AL-MINADOR DO NEGRAO;0;0;0;0;0;0;0;0;0
AL-MONTEIROPOLIS;0;0;0;0;0;0;0;0;0
AL-MURICI;0;0;0;0;0;0;0;0;0
AL-NOVO LINO;0;0;0;0;0;0;0;0;0
AL-OLHO D AGUA DAS FLORES;0;0;0;0;0;0;0;0;0
AL-OLHO D AGUA DO CASADO;0;0;0;0;0;0;0;0;0
AL-OLHO D AGUA GRANDE;0;0;0;0;0;0;0;0;0
AL-OLIVENCA;0;0;0;0;0;0;0;0;0
AL-OURO BRANCO;0;0;0;0;0;0;0;0;0
AL-PALESTINA;0;0;0;0;0;0;0;0;0
AL-PALMEIRA DOS INDIOS;0;0;0;0;0;0;0;0;0
AL-PAO DE ACUCAR;0;0;0;0;0;0;0;0;0
AL-PARICONHA;0;0;0;0;0;0;0;0;0
AL-PARIPUEIRA;0;0;0;0;0;0;0;0;0
AL-PASSO DE CAMARAGIBE;0;0;0;0;0;0;0;0;0
AL-PAULO JACINTO;0;0;0;0;0;0;0;0;0
AL-PENEDO;0;0;0;0;0;0;0;0;0
AL-PIACABUCU;0;0;0;0;0;0;0;0;0
AL-PILAR;0;0;0;0;0;0;0;0;0
AL-PINDOBA;0;0;0;0;0;0;0;0;0
AL-PIRANHAS;0;0;0;0;0;0;0;0;0
AL-POCO DAS TRINCHEIRAS;0;0;0;0;0;0;0;0;0
AL-PORTO CALVO;0;0;0;0;0;0;0;0;0
AL-PORTO DE PEDRAS;0;0;0;0;0;0;0;0;0
AL-PORTO REAL DO COLEGIO;0;0;0;0;0;0;0;0;0
AL-QUEBRANGULO;0;0;0;0;0;0;0;0;0
AL-RIO LARGO;0;0;0;0;0;0;0;0;0
AL-ROTEIRO;0;0;0;0;0;0;0;0;0
AL-SANTA LUZIA DO NORTE;0;0;0;0;0;0;0;0;0
AL-SANTANA DO IPANEMA;0;0;0;0;0;0;0;0;0
AL-SANTANA DO MUNDAU;0;0;0;0;0;0;0;0;0
AL-SAO BRAS;0;0;0;0;0;0;0;0;0
AL-SAO JOSE DA LAJE;0;0;0;0;0;0;0;0;0
AL-SAO JOSE DA TAPERA;0;0;0;0;0;0;0;0;0
AL-SAO LUIS DO QUITUNDE;0;0;0;0;0;0;0;0;0
AL-SAO MIGUEL DOS CAMPOS;0;0;0;0;0;0;0;0;0
AL-SAO MIGUEL DOS MILAGRES;0;0;0;0;0;0;0;0;0
AL-SAO SEBASTIAO;0;0;0;0;0;0;0;0;0
AL-SATUBA;0;0;0;0;0;0;0;0;0
AL-SENADOR RUI PALMEIRA;0;0;0;0;0;0;0;0;0
AL-TANQUE D ARCA;0;0;0;0;0;0;0;0;0
AL-TAQUARANA;0;0;0;0;0;0;0;0;0
AL-TEOTONIO VILELA;0;0;0;0;0;0;0;0;0
AL-TRAIPU;0;0;0;0;0;0;0;0;0
AL-UNIAO DOS PALMARES;0;0;0;0;0;0;0;0;0
AL-VICOSA;0;0;0;0;0;0;0;0;0
AL-IGNORADO;0;0;0;0;0;0;0;0;0
SE-AMPARO DE SAO FRANCISCO;0;0;0;0;0;0;0;0;0
SE-AQUIDABA;0;0;0;0;0;0;0;0;0
SE-ARACAJU;0;0;0;0;0;0;0;0;0
SE-ARAUA;0;0;0;0;0;0;0;0;0
SE-AREIA BRANCA;0;0;0;0;0;0;0;0;0
SE-BARRA DOS COQUEIROS;0;0;0;0;0;0;0;0;0
SE-BOQUIM;0;0;0;0;0;0;0;0;0
SE-BREJO GRANDE;0;0;0;0;0;0;0;0;0
SE-CAMPO DO BRITO;0;0;0;0;0;0;0;0;0
SE-CANHOBA;0;0;0;0;0;0;0;0;0
SE-CANINDE DE SAO FRANCISCO;0;0;0;0;0;0;0;0;0
SE-CAPELA;0;0;0;0;0;0;0;0;0
SE-CARIRA;0;0;0;0;0;0;0;0;0
SE-CARMOPOLIS;0;0;0;0;0;0;0;0;0
SE-CEDRO DE SAO JOAO;0;0;0;0;0;0;0;0;0
